team,region,opp_region,seed,first4,winrate
duke,east,south,1,0,0.7742551341
siena,east,south,16,0,0.4830470010
ohio_st,east,south,8,0,0.6692270054
tcu,east,south,9,0,0.6354572523
st_johns,east,south,5,0,0.6942531094
northern_iowa,east,south,12,0,0.5924396521
kansas,east,south,4,0,0.6842732064
cal_baptist,east,south,13,0,0.5473286304
louisville,east,south,6,0,0.6910814416
south_florida,east,south,11,0,0.6268972966
michigan_st,east,south,3,0,0.7103552449
north_dakota_st,east,south,14,0,0.5395422521
ucla,east,south,7,0,0.6652150530
ucf,east,south,10,0,0.6166097670
uconn,east,south,2,0,0.7073458108
furman,east,south,15,0,0.4843928218
florida,south,east,1,0,0.7445731436
prairie_view_a_m,south,east,16,1,0.4160832648
lehigh,south,east,16,1,0.4182413531
clemson,south,east,8,0,0.6477028430
iowa,south,east,9,0,0.6706989501
vanderbilt,south,east,5,0,0.7049778613
mcneese,south,east,12,0,0.5980911871
nebraska,south,east,4,0,0.6961339247
troy,south,east,13,0,0.5142611309
north_carolina,south,east,6,0,0.6592590406
vcu,south,east,11,0,0.6325148991
illinois,south,east,3,0,0.7344371719
penn,south,east,14,0,0.5105386890
saint_marys,south,east,7,0,0.6756506551
texas_a_m,south,east,10,0,0.6434961489
houston,south,east,2,0,0.7422754458
idaho,south,east,15,0,0.5119644656
arizona,west,midwest,1,0,0.7670842788
long_island,west,midwest,16,0,0.4686581470
villanova,west,midwest,8,0,0.6529650250
utah_st,west,midwest,9,0,0.6594014458
wisconsin,west,midwest,5,0,0.6773156912
high_point,west,midwest,12,0,0.5661794235
arkansas,west,midwest,4,0,0.6951943317
hawaii,west,midwest,13,0,0.5466216761
byu,west,midwest,6,0,0.6760673330
texas,west,midwest,11,1,0.6471239522
nc_state,west,midwest,11,1,0.6497255380
gonzaga,west,midwest,3,0,0.7096372664
kennesaw_st,west,midwest,14,0,0.5060227087
miami_fl,west,midwest,7,0,0.6581900863
missouri,west,midwest,10,0,0.6193787091
purdue,west,midwest,2,0,0.7287729626
queens_nc,west,midwest,15,0,0.4885899812
michigan,midwest,west,1,0,0.7669709854
howard,midwest,west,16,1,0.4768755087
umbc,midwest,west,16,1,0.4846303437
georgia,midwest,west,8,0,0.6566193780
saint_louis,midwest,west,9,0,0.6408738693
texas_tech,midwest,west,5,0,0.6896584479
akron,midwest,west,12,0,0.5999946940
alabama,midwest,west,4,0,0.6929731392
hofstra,midwest,west,13,0,0.5749560432
tennessee,midwest,west,6,0,0.6949927782
miami_oh,midwest,west,11,1,0.5651669476
smu,midwest,west,11,1,0.6394133899
virginia,midwest,west,3,0,0.6997427163
wright_st,midwest,west,14,0,0.5161613682
kentucky,midwest,west,7,0,0.6637308857
santa_clara,midwest,west,10,0,0.6496533910
iowa_st,midwest,west,2,0,0.7361647338
tennessee_st,midwest,west,15,0,0.4856596840
